Entity,Code,Year,cumulative_individuals
Russia,RUS,2021,124
Saudi Arabia,SAU,1985,1
Slovakia,SVK,1999,1
South Africa,ZAF,2002,1
South Korea,KOR,2008,1
Spain,ESP,1998,1
Sweden,SWE,2006,1
Switzerland,CHE,1992,1
Syria,SYR,1987,1
Ukraine,UKR,1997,1
United Arab Emirates,ARE,2019,1
United Kingdom,GBR,1991,1
United Kingdom,GBR,1992,2
United Kingdom,GBR,2015,3
United States,USA,1961,2
United States,USA,1962,5
United States,USA,1963,7
United States,USA,1965,14
United States,USA,1966,20
United States,USA,1968,23
United States,USA,1969,25
United States,USA,1970,27
United States,USA,1971,31
United States,USA,1972,35
United States,USA,1973,42
United States,USA,1975,44
United States,USA,1981,47
United States,USA,1982,52
United States,USA,1983,66
United States,USA,1984,85
United States,USA,1985,117
United States,USA,1986,123
United States,USA,1988,125
United States,USA,1989,136
United States,USA,1990,149
United States,USA,1991,167
United States,USA,1992,179
United States,USA,1993,194
United States,USA,1994,204
United States,USA,1995,216
United States,USA,1996,223
United States,USA,1997,232
United States,USA,1998,242
United States,USA,1999,245
United States,USA,2000,249
United States,USA,2001,258
United States,USA,2002,269
United States,USA,2003,272
United States,USA,2004,275
United States,USA,2005,277
United States,USA,2006,286
United States,USA,2007,295
United States,USA,2008,310
United States,USA,2009,329
United States,USA,2010,333
United States,USA,2013,334
United States,USA,2014,335
United States,USA,2015,336
United States,USA,2016,337
United States,USA,2017,340
United States,USA,2018,342
United States,USA,2019,346
United States,USA,2020,347
Vietnam,VNM,1980,1
World,OWID_WRL,1961,4
World,OWID_WRL,1962,9
World,OWID_WRL,1963,13
World,OWID_WRL,1964,16
World,OWID_WRL,1965,25
World,OWID_WRL,1966,31
World,OWID_WRL,1968,35
World,OWID_WRL,1969,46
World,OWID_WRL,1970,49
World,OWID_WRL,1971,56
World,OWID_WRL,1972,60
World,OWID_WRL,1973,71
World,OWID_WRL,1974,74
World,OWID_WRL,1975,78
World,OWID_WRL,1976,82
World,OWID_WRL,1977,86
World,OWID_WRL,1978,91
World,OWID_WRL,1979,93
World,OWID_WRL,1980,100
World,OWID_WRL,1981,106
World,OWID_WRL,1982,115
World,OWID_WRL,1983,132
World,OWID_WRL,1984,156
World,OWID_WRL,1985,196
World,OWID_WRL,1986,202
World,OWID_WRL,1987,207
World,OWID_WRL,1988,214
World,OWID_WRL,1989,225
World,OWID_WRL,1990,241
World,OWID_WRL,1991,264
World,OWID_WRL,1992,286
World,OWID_WRL,1993,306
World,OWID_WRL,1994,322
World,OWID_WRL,1995,339
World,OWID_WRL,1996,354
World,OWID_WRL,1997,370
World,OWID_WRL,1998,386
World,OWID_WRL,1999,392
World,OWID_WRL,2000,399
World,OWID_WRL,2001,411
World,OWID_WRL,2002,428
World,OWID_WRL,2003,433
World,OWID_WRL,2004,438
World,OWID_WRL,2005,443
World,OWID_WRL,2006,455
World,OWID_WRL,2007,468
World,OWID_WRL,2008,490
World,OWID_WRL,2009,512
World,OWID_WRL,2010,521
World,OWID_WRL,2011,526
World,OWID_WRL,2012,531
World,OWID_WRL,2013,537
World,OWID_WRL,2014,542
World,OWID_WRL,2015,547
World,OWID_WRL,2016,553
World,OWID_WRL,2017,557
World,OWID_WRL,2018,561
World,OWID_WRL,2019,566
World,OWID_WRL,2020,569
World,OWID_WRL,2021,570
